round,legacy_id,id,name,model,gpt,electra,description,merged_f1,merged_accuracy,dyn1_f1,dyn1_accuracy,dyn2_f1,dyn2_accuracy,sst_f1,sst_accuracy,ft_cost,cost_per_f1,tokens,rate,gpt_ft_cost,electra_ft_cost,merged_f1_mean,merged_f1_diff,merged_f1_std,dyn1_f1_mean,dyn_f1_diff,dyn1_f1_std,dyn2_f1_mean,dyn2_f1_diff,dyn2_f1_std,sst_f1_mean,sst_f1_diff,sst_f1_std,merged_accuracy_mean,merged_accuracy_std,dyn1_accuracy_mean,dyn1_accuracy_std,dyn2_accuracy_mean,dyn2_accuracy_std,sst_accuracy_mean,sst_accuracy_std
2,B1-EB,B1,"B1: Baseline, Classifier head",ELECTRA Base,—,ELECTRA Base,"Baseline, Classifier head",69.37,69.57,70.75,71.11,61.19,61.25,60.34,69.77,$0.65,$0.0094,,,,$0.00,69.51,,0.20,70.86,,0.15,61.39,,0.28,60.60,,0.36,69.70,0.18,71.20,0.12,61.46,0.30,69.96,0.26
2,B2-EL,B2,"B2: Baseline, Classifier head",ELECTRA Large,—,ELECTRA Large,"Baseline, Classifier head",67.99,68.15,69.67,70.03,59.78,59.72,58.21,67.83,$2.51,$0.0369,,,,$0.00,67.94,,0.08,69.70,,0.04,59.78,,0.00,57.95,,0.37,68.11,0.06,70.05,0.02,59.72,0.00,67.67,0.23
2,B3-G4OM,B3,B3: Baseline (Zero shot),GPT-4o-mini,gpt-4o-mini,,Baseline (Zero shot),79.29,80.15,81.19,81.08,76.69,77.36,69.30,79.55,$0.00,$0.0000,0,3,$0.00,$0.00,79.41,,0.16,81.16,,0.05,77.02,,0.47,69.99,,0.97,80.25,0.13,81.04,0.06,77.64,0.40,79.80,0.35
2,B4-G4O,B4,B4: Baseline (Zero shot),GPT-4o,gpt-4o,,Baseline (Zero shot),79.80,80.47,80.77,80.61,80.05,80.42,71.96,80.27,$0.00,$0.0000,0,25,$0.00,$0.00,79.97,,0.24,80.95,,0.25,80.14,,0.12,72.08,,0.17,80.61,0.19,80.78,0.23,80.49,0.10,80.36,0.13
2,E1-EBFT,E1,E1: Fine-tune all layers,ELECTRA Base,—,ELECTRA Base FT,Fine-tune all layers,78.98,79.46,82.13,82.19,69.51,69.72,68.13,78.19,$9.73,$0.1232,,,,$9.73,79.14,,0.22,82.12,,0.02,70.67,,1.64,69.04,,1.29,79.58,0.16,82.17,0.04,70.83,1.57,78.22,0.04
2,E2-ELFT,E2,E2: Fine-tune all layers,ELECTRA Large,—,ELECTRA Large FT,Fine-tune all layers,83.16,83.71,86.53,86.44,78.36,78.61,72.63,80.91,$53.26,$0.6405,,,,$53.26,82.76,,0.57,86.22,,0.44,77.33,,1.46,71.77,,1.22,83.34,0.53,86.14,0.43,77.57,1.47,80.64,0.39
2,E3-G4OM-EBFT,E3,"E3: Prompt, Label",GPT-4o-mini + EBFT,gpt-4o-mini,ELECTRA Base FT,"Prompt, Label",82.26,82.92,86.29,86.25,74.47,74.86,70.03,80.14,$9.73,$0.1183,0,3,$0.00,$9.73,82.50,3.10,0.34,86.40,5.24,0.15,75.33,-1.69,1.22,70.88,0.89,1.20,83.14,0.30,86.35,0.13,75.70,1.18,80.34,0.28
2,E13-G4OM-ELFT,E4,"E4: Prompt, Label",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label",84.10,84.73,87.90,87.83,79.52,79.86,72.54,81.27,$53.26,$0.6333,0,3,$0.00,$53.26,83.80,4.39,0.43,87.71,6.56,0.27,78.73,1.71,1.12,71.77,1.78,1.10,84.47,0.37,87.65,0.25,79.17,0.98,81.02,0.35
2,E15-G4OM-ELFT-EX,E5,"E5: Prompt, Label, Examples",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label, Examples (Few shot)",83.63,84.18,87.13,87.03,80.29,80.56,72.68,80.72,$53.26,$0.6369,0,3,$0.00,$53.26,83.42,4.01,0.30,86.94,5.78,0.28,79.50,2.48,1.12,72.33,2.35,0.49,83.99,0.27,86.84,0.28,79.80,1.08,80.72,0.00
2,E19-G4OM-ELFT-BEX,E6,"E6: Prompt, Label, Balanced Ex.",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label, Balanced Ex. (Few shot)",83.28,83.81,86.71,86.58,80.12,80.42,72.51,80.41,$53.26,$0.6395,0,3,$0.00,$53.26,82.98,3.58,0.42,86.28,5.12,0.62,79.87,2.85,0.36,71.98,2.00,0.75,83.55,0.37,86.14,0.63,80.21,0.30,80.41,0.00
2,E16-G4OM-ELFT-PR,E7,"E7: Prompt, Probs",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Probs",83.53,84.07,86.76,86.67,79.89,80.14,72.98,81.13,$53.26,$0.6376,0,3,$0.00,$53.26,83.27,3.87,0.37,86.60,5.45,0.23,79.41,2.39,0.69,72.26,2.27,1.03,83.84,0.33,86.52,0.22,79.66,0.69,80.84,0.42
2,E17-G4OM-ELFT-PR2,E8,"E8: Prompt, Label, Probs",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label, Probs",83.88,84.47,87.41,87.33,80.23,80.56,72.53,81.09,$53.26,$0.6350,0,3,$0.00,$53.26,83.66,4.25,0.32,87.22,6.06,0.28,79.98,2.96,0.36,71.78,1.80,1.06,84.30,0.25,87.14,0.28,80.35,0.30,80.95,0.20
